date,harris_mean,harris_var,trump_mean,trump_var,other_mean,other_var
2024-09-06,0.4,0.0012448275862068964,0.55,0.001255603448275862,0.03985641885970983,0.0004135084663475201
2024-09-07,0.4000000000000001,0.0012548275862068964,0.55,0.0012693534482758622,0.039864459598767846,0.0004136753277545278
2024-09-08,0.4000000000000001,0.0012848275862068965,0.55,0.001310603448275862,0.0398885688370393,0.00041417584440525375
2024-09-09,0.4,0.0013348275862068964,0.55,0.001379353448275862,0.03992870774234058,0.00041500981413297803
2024-09-10,0.4,0.0014048275862068964,0.55,0.001475603448275862,0.03998481194082158,0.0004161769017968733
2024-09-11,0.4,0.0014948275862068964,0.55,0.0015993534482758621,0.040056792029863016,0.00041767664195223276
2024-09-12,0.4000000000000001,0.0016048275862068967,0.55,0.0017506034482758623,0.040144534282792244,0.00041950844251933625
2024-09-13,0.4,0.0017348275862068962,0.55,0.0019293534482758621,0.040247901532609445,0.0004216715893842737
2024-09-14,0.4000000000000001,0.0018848275862068966,0.5499999999999999,0.0021356034482758624,0.040366734218984374,0.00042416525184978235
2024-09-15,0.4,0.0020548275862068963,0.55,0.002369353448275862,0.04050085158034832,0.00042698848884147316
2024-09-16,0.4,0.0022448275862068964,0.55,0.002630603448275862,0.04065005297102171,0.0004301402557650124
2024-09-17,0.4,0.0024548275862068965,0.55,0.002919353448275862,0.04081411928201805,0.0004336194119030606
2024-09-18,0.4,0.0026848275862068967,0.55,0.003235603448275863,0.04099281444345506,0.0004374247282370725
2024-09-19,0.4000000000000001,0.0029348275862068965,0.55,0.003579353448275862,0.041185886986366715,0.00044155489557834524
2024-09-20,0.4,0.0032048275862068963,0.5499999999999999,0.003950603448275862,0.041393071642106594,0.00044600853289477536
2024-09-21,0.39999999999999997,0.0034948275862068962,0.55,0.004349353448275863,0.04161409095840709,0.00045078419572432805
2024-09-22,0.4,0.0038048275862068966,0.55,0.004775603448275862,0.04184865691244195,0.000455880384572906
2024-09-23,0.4,0.004134827586206896,0.55,0.0052293534482758626,0.0420964725028536,0.0004612955532027044
2024-09-24,0.4000000000000001,0.004484827586206896,0.55,0.005710603448275862,0.042357233304570974,0.00046702811672684735
2024-09-25,0.4,0.004854827586206896,0.55,0.006219353448275863,0.04263062897227752,0.00047307645943668976
2024-09-26,0.4000000000000001,0.005244827586206896,0.55,0.006755603448275862,0.04291634468051453,0.00047943894229923154
2024-09-27,0.4,0.005654827586206897,0.55,0.0073193534482758615,0.04321406249055416,0.00048611391007328186
2024-09-28,0.4000000000000001,0.0060848275862068965,0.5499999999999999,0.007910603448275863,0.043523462636285606,0.0004930996980039955
2024-09-29,0.4,0.006534827586206897,0.55,0.008529353448275863,0.04384422472337691,0.0005003946380659034
2024-09-30,0.4,0.007004827586206897,0.55,0.009175603448275864,0.04417602883786291,0.0005079970647344064
2024-10-01,0.4,0.007494827586206896,0.55,0.009849353448275863,0.0445185565620354,0.0005159053202746629
2024-10-02,0.4,0.008004827586206898,0.55,0.010550603448275863,0.04487149189705592,0.0005241177595448654
2024-10-03,0.4,0.008534827586206897,0.55,0.011279353448275863,0.04523452209306147,0.0005326327543179056
2024-10-04,0.4,0.009084827586206896,0.55,0.012035603448275863,0.04560733838868662,0.0005414486971314474
2024-10-05,0.4,0.009654827586206897,0.5499999999999999,0.012819353448275863,0.045989636662884456,0.0005505640046814157
2024-10-06,0.4,0.010244827586206897,0.55,0.013630603448275866,0.046381118002700755,0.0005599771207779186
2024-10-07,0.4,0.010854827586206896,0.55,0.014469353448275863,0.04678148919125539,0.0005696865188857625
2024-10-08,0.39999999999999997,0.011484827586206897,0.55,0.015335603448275862,0.047190463120623236,0.0005796907042739748
2024-10-09,0.39999999999999997,0.012134827586206896,0.55,0.016229353448275866,0.04760775913460462,0.0005899882158003254
2024-10-10,0.39999999999999997,0.012804827586206897,0.55,0.017150603448275865,0.04803310330654648,0.0006005776273577069
2024-10-11,0.4,0.013494827586206898,0.55,0.018099353448275866,0.04846622865743973,0.0006114575490095877
2024-10-12,0.4,0.014204827586206895,0.55,0.01907560344827586,0.04890687531949125,0.0006226266278415927
2024-10-13,0.4,0.014934827586206898,0.55,0.020079353448275862,0.049354790650268196,0.0006340835485557583
2024-10-14,0.4,0.015684827586206897,0.5499999999999999,0.021110603448275863,0.049809729302350655,0.0006458270338331553
2024-10-15,0.4,0.016454827586206897,0.55,0.022169353448275864,0.02,0.0016886609195402298
2024-10-16,0.4,0.017244827586206896,0.55,0.023255603448275864,0.02,0.0017281609195402298
2024-10-17,0.4000000000000001,0.018054827586206898,0.55,0.024369353448275864,0.02,0.00176866091954023
2024-10-18,0.4,0.018884827586206895,0.55,0.025510603448275864,0.019999999999999997,0.0018101609195402297
2024-10-19,0.4,0.0197348275862069,0.55,0.026679353448275864,0.02,0.0018526609195402299
2024-10-20,0.4000000000000001,0.020604827586206898,0.55,0.027875603448275867,0.02,0.00189616091954023
2024-10-21,0.4,0.0214948275862069,0.55,0.029099353448275866,0.02,0.00194066091954023
2024-10-22,0.4,0.022404827586206898,0.55,0.03035060344827586,0.02,0.0019861609195402303
2024-10-23,0.4,0.023334827586206894,0.55,0.03162935344827587,0.02,0.00203266091954023
2024-10-24,0.4,0.024284827586206897,0.55,0.03293560344827587,0.02,0.0020801609195402297
2024-10-25,0.4,0.0252548275862069,0.55,0.03426935344827586,0.02,0.0021286609195402297
2024-10-26,0.4,0.026244827586206897,0.55,0.035630603448275865,0.02,0.0021781609195402297
