date,harris_mean,harris_var,trump_mean,trump_var,other_mean,other_var
2024-07-18,0.52,0.0013992,0.4099999999999999,0.0013838000000000001,0.0294,0.000225
2024-07-19,0.52,0.0014512000000000001,0.4099999999999999,0.0014248000000000002,0.0294,0.000225
2024-07-20,0.52,0.0016072,0.41,0.0015478000000000002,0.0294,0.000225
2024-07-21,0.52,0.0018672,0.41000000000000003,0.0017528,0.0294,0.000225
2024-07-22,0.52,0.0022312,0.41,0.0020398,0.0294,0.000225
2024-07-23,0.52,0.0026992,0.41000000000000003,0.0024088,0.0294,0.000225
2024-07-24,0.52,0.0032711999999999997,0.41,0.0028598,0.0294,0.000225
2024-07-25,0.52,0.0039472,0.41,0.0033928,0.0294,0.000225
2024-07-26,0.52,0.0047272,0.41,0.004007800000000001,0.0294,0.000225
2024-07-27,0.52,0.005611199999999999,0.41,0.0047048,0.0294,0.000225
2024-07-28,0.52,0.0065992,0.41000000000000003,0.0054838,0.0294,0.000225
2024-07-29,0.52,0.0076912,0.41,0.0063448,0.0294,0.000225
2024-07-30,0.52,0.008887200000000001,0.41,0.0072878000000000005,0.0294,0.000225
2024-07-31,0.52,0.0101872,0.4099999999999999,0.0083128,0.0294,0.000225
2024-08-01,0.5104619293271667,0.0005287704170341628,0.38163264140830366,0.0005180556755910728,0.03457545658442807,0.00030855495033643064
2024-08-02,0.5103961468981961,0.0005549896067668959,0.3814974384401321,0.0005384162705779393,0.03440038826719018,0.00030804527096351406
2024-08-03,0.5103150283003223,0.0006280172088649985,0.3814519089644876,0.0005930330713455073,0.034103921060257586,0.00030275859841844043
2024-08-04,0.510240005873487,0.0007477822521864129,0.38147383083332886,0.0006820948644720169,0.033637337707623796,0.00029453105165991506
2024-08-05,0.510188018811477,0.0009136283797832975,0.3815473135793508,0.0008053270702578178,0.03303621371511059,0.00028409814052229827
2024-08-06,0.510163955099173,0.0011246230579682363,0.38165943869469166,0.0009622082600139712,0.032340952639431784,0.00027226603957360726
2024-08-07,0.5101649347017969,0.001379735708553038,0.38179930788233285,0.0011521055471444136,0.03159106028939673,0.0002597863104457255
2024-08-08,0.5101854439991681,0.0016779372589222619,0.3819579938602164,0.001374355563197793,0.030821043550714532,0.0002472763238117039
2024-08-09,0.5102200381598806,0.0020182535104624486,0.38212848658354387,0.0016283107134604108,0.03005829550259325,0.00023518875690369055
2024-08-10,0.510264250527167,0.0023997908454613226,0.38230547186399366,0.0019133637737648009,0.029322678686434324,0.00022381806678151546
2024-08-11,0.5103146930142944,0.00282174549837869,0.3824850268953948,0.002228959243843562,0.028627227052082906,0.00021332729297467393
2024-08-12,0.5103688905688171,0.0032834034403602776,0.38266431744410784,0.0025745968319626374,0.02797939223323337,0.000203781338437401
2024-08-13,0.5104250708658359,0.0037841352656904806,0.38284133704438,0.002949830463322168,0.027382412354999705,0.00019517818262683272
2024-08-14,0.5104819807483643,0.004323388737563391,0.38301469805662675,0.0033542649160041987,0.02683655859829178,0.00018747419757381002
2024-08-15,0.5105387437565263,0.004900680544824678,0.3831834705648934,0.003787551359617552,0.026340154183180475,0.00018060280153938982
2024-08-16,0.5105947547367397,0.0055155881335216626,0.3833470606906028,0.004249382546887557,0.025890347857730617,0.0001744872220414141
2024-08-17,0.5106496034532263,0.006167742060118264,0.38350511968249706,0.004739488081242797,0.02548366833020455,0.00016904866502599706
2024-08-18,0.5107030196351247,0.006856819067078559,0.3836574763862044,0.0052576299830094314,0.0251164022812593,0.0001642111785594667
2024-08-19,0.5107548334904318,0.007582535940842343,0.3838040872260609,0.005803598656539818,0.024784839426822504,0.0001599042756698707
2024-08-20,0.5108049472790551,0.008344644135480977,0.38394499921459724,0.006377209290382532,0.02448542212444138,0.000156064113028968
2024-08-21,0.5727864814472028,0.001294327451353669,0.41115094234606325,0.0012398806604700392,0.019423976824216434,9.821191057572292e-05
2024-08-22,0.5732181648873398,0.0013536073718004834,0.4114510778796813,0.0012872638599114644,0.0192442353664031,9.640269544916701e-05
2024-08-23,0.5730346248939355,0.0015001969116087651,0.4114952483585378,0.001392376684658753,0.019082035566229498,9.478448598262378e-05
2024-08-24,0.5723828151574281,0.0017328166270673643,0.41134013929663016,0.0015555996013710634,0.01893538398396472,9.333318581325168e-05
2024-08-25,0.5713943373218922,0.002047020303037745,0.4110373852862453,0.0017750941613146687,0.01880252384297185,9.202803593958896e-05
2024-08-26,0.5701788973545112,0.0024367386905957754,0.4106309017564928,0.002047721945928503,0.01868191066497532,9.085115214861481e-05
2024-08-27,0.5688232480003117,0.002895380658601247,0.41015619706592615,0.0023697470812439774,0.018572188349106348,8.978711476329696e-05
2024-08-28,0.5673931989827351,0.003416524602250923,0.4096408687064478,0.002737314992751629,0.018472166709617092,8.882261113803778e-05
2024-08-29,0.5659369363730578,0.0039942953364169136,0.4091056694092582,0.0031467447220423403,0.018380800964268057,8.79461276780606e-05
2024-08-30,0.5644885820647626,0.004623527458293171,0.40856574451546523,0.003594684496348125,0.01829717334607634,8.714768649947067e-05
