date,harris_mean,harris_var,trump_mean,trump_var
2024-07-21,0.47228589793680603,0.0031396989967608984,0.3771451238427749,0.0007389861251986856
2024-07-22,0.4731965363538343,0.0036159403032357744,0.3768486051974153,0.0008509758766136927
2024-07-23,0.4739148762713381,0.00408664026227096,0.3765999107571672,0.0009596338195955927
2024-07-24,0.47449601179824286,0.004553386486875355,0.37638666915502417,0.0010653763789971829
2024-07-25,0.5105678189245797,0.0010510633894669666,0.377995069139576,0.0006166098328520552
2024-07-26,0.5070936231061249,0.0015847079586202438,0.37748375003231893,0.0008056427586208986
2024-07-27,0.5047189407819465,0.0020495329759113805,0.3771452048857514,0.0009496321714544108
2024-07-28,0.5030022641569902,0.002472303619975642,0.3768905990226663,0.0010724444948846555
2024-07-29,0.501708815040504,0.0028674450050196034,0.3766849400573817,0.0011832391570066427
2024-07-30,0.5007026401821937,0.0032434319632840885,0.3765112796045762,0.0012863143418617997
2024-07-31,0.4998997901531915,0.0036055773464066334,0.3763602183386644,0.0013839732956692202
2024-08-01,0.49924575366033974,0.003957384858071947,0.37622602022574925,0.0014775742330664977
2024-08-02,0.4987036707708742,0.004301261037507105,0.37610492797260414,0.0015679788856998657
2024-08-03,0.4982477706313523,0.0046389149527170355,0.3759943435119991,0.0016557667639237957
2024-08-04,0.4978595230441462,0.004971594688605216,0.37589239243985584,0.0017413466141356121
2024-08-05,0.4975252819269332,0.005300233517224198,0.37579767568789507,0.0018250184519567573
2024-08-06,0.4972347886184634,0.0056255436388898015,0.3757047209834366,0.001906930191109656
2024-08-07,0.4969801910442906,0.005948078229024519,0.37561530990556863,0.0019872999130296017
2024-08-08,0.4967553832342919,0.006268273645824302,0.3755301223489047,0.0020662923569607565
2024-08-09,0.4965555498410088,0.006586478837630817,0.37544862504369664,0.002144023797016089
2024-08-10,0.49637684534668913,0.006902976269110884,0.3753703792843415,0.002220591141095471
2024-08-11,0.4962161638531963,0.007217997094316221,0.3752950197855151,0.002296076474539555
2024-08-12,0.49607097107454046,0.007531732344569021,0.3752222391663436,0.002370550313951972
2024-08-13,0.4959391798502942,0.00784434130347676,0.37515177634676994,0.0024440739863679103
2024-08-14,0.495819056628075,0.008155957862601046,0.37508340772326637,0.002516701402011245
2024-08-15,0.4957091503242459,0.008466695405008365,0.37501694035765176,0.00258848039811306
2024-08-16,0.49560823758315636,0.008776650600516401,0.37495220664942946,0.0026594537737507757
2024-08-17,0.49551528020828267,0.009085906386019926,0.3748890601184568,0.0027296600983817
2024-08-18,0.4954293917352847,0.00939453432839449,0.3748274960644058,0.0027990672318301325
2024-08-19,0.49534981094647307,0.009702596514520757,0.3747673716299659,0.0028677204807115203
2024-08-20,0.4952758807092931,0.010010147075491674,0.3747085045498407,0.0029356923551660578
2024-08-21,0.4952070309367383,0.01031723342518764,0.3746508047739994,0.0030030096643866803
2024-08-22,0.4951427647669853,0.010623897273896753,0.3745941917106528,0.003069697189083868
2024-08-23,0.4950826472778094,0.01093017546333738,0.37453859296385333,0.0031357779169896424
2024-08-24,0.4950262962121303,0.011236100658818086,0.3744839432739845,0.003201273241268271
2024-08-25,0.4949733743106754,0.011541701926313118,0.3744301836232316,0.0032662031290170497
2024-08-26,0.49492358293756633,0.011847005216216368,0.3743772604761522,0.0033305862654346876
2024-08-27,0.4948766567526684,0.012152033770950027,0.3743251251316053,0.0033944401780287336
